"Amor_es_mas_laberinto_1" "Amor_es_mas_laberinto_2" "Amor_es_mas_laberinto_3" "Amor_es_mas_laberinto_4" "Amor_es_mas_laberinto_5" "Amor_es_mas_laberinto_6" "Amor_es_mas_laberinto_7" "Amor_es_mas_laberinto_8" "Amor_es_mas_laberinto_9" "Amor_es_mas_laberinto_10" "Amor_es_mas_laberinto_11" "Amor_es_mas_laberinto_12" "Amor_es_mas_laberinto_13" "Amor_es_mas_laberinto_14" "Amor_es_mas_laberinto_15" "Amor_es_mas_laberinto_16" "Amor_es_mas_laberinto_17" "Amor_es_mas_laberinto_18" "Amor_es_mas_laberinto_19" "Amor_es_mas_laberinto_20" "Amor_es_mas_laberinto_21" "Amor_es_mas_laberinto_22" "Amor_es_mas_laberinto_23" "Amor_es_mas_laberinto_24" "Amor_es_mas_laberinto_25" "Amor_es_mas_laberinto_26" "Amor_es_mas_laberinto_27" "Amor_es_mas_laberinto_28" "Amor_es_mas_laberinto_29" "Amor_es_mas_laberinto_30" "Amor_es_mas_laberinto_31" "Amor_es_mas_laberinto_32" "Amor_es_mas_laberinto_33" "Amor_es_mas_laberinto_34"
"mi" 0.7 1.6 1.5 1.2 1 1.2 1.5 1.1 1.1 1.2 1 1 1 0.8 0.7 1.1 2.2 2.8 2.3 2.7 2.6 2 1.2 1.2 1.6 0.8 0.9 1 1.3 2.1 2.4 2.2 2.4 2.3
"lo" 0.8 0.8 1 1.2 0.8 0.5 0.9 1.1 1.4 1.2 0.7 0.9 1.2 1.7 1.5 0.8 1.3 1 0.5 1.4 1.3 0.8 0.5 0.5 1 0.9 1.1 1.1 0.5 0.5 0.5 0.5 1 1.3
"yo" 0.1 0.4 0.4 0.4 0.8 0.9 1.4 1.8 1 0.3 0.6 0.5 0.5 0.6 0.5 0.4 0.1 0.5 0.5 0.4 1 1.3 1 0.6 0.6 1.1 1.2 0.8 0.6 0.8 1.2 1.1 0.6 0.7
"si" 0.3 0.5 0.5 0.6 0.4 0.6 1 0.9 0.7 0.9 0.8 0.7 1 1.4 1.6 1.3 1.7 1.7 1.3 1.6 1.6 0.9 0.5 0.5 0.3 0.6 0.9 1 1 0.6 1 1.7 1.2 0.3
"pues" 0.8 1 0.6 0.7 0.8 0.7 1 1.4 1.5 1.1 0.8 0.6 0.8 0.8 0.3 0.2 0.3 0.5 0.4 0.5 0.8 0.7 0.8 1.2 1.2 0.7 0.9 1.5 1.6 2.2 2.2 1.8 1.5 1
"con" 1.1 1.2 1.1 0.8 1.4 1.5 1.3 1.1 0.5 0.8 1 1.1 1.1 0.7 1.1 1.7 1.1 0.4 1 1.3 1.3 1.4 1.1 1.1 1.2 1 1.3 1.7 1.2 0.6 0.6 0.8 1.2 1.2
"se" 0.4 0.8 0.9 0.6 0.5 0.5 0.9 1.1 1 0.7 0.6 0.9 0.7 0.5 1.3 1.4 0.7 0.8 0.6 0.4 0.5 0.6 0.8 0.9 0.7 0.7 0.7 1 1.7 1.5 1.1 1.1 1.2 0.9
"por" 1 0.9 0.8 0.6 0.7 0.8 0.8 1.2 1.3 0.8 1 1.2 1.2 1 1 1.9 2.2 1.7 0.9 0.8 0.8 0.9 1.1 0.7 1 1.3 1.1 0.7 0.6 0.6 0.6 1 1.2 1.1
"qué" 0.8 0.4 0.3 0.2 0.1 0.2 0.7 1.1 1.4 1.3 1 0.9 0.8 0.8 0.5 0.3 0.1 0.5 0.9 0.8 1 1.3 1.7 1.3 1 1 0.5 0.5 0.6 0.9 1.4 2 2 1.1
"los" 0.5 0.4 0.4 1.1 1.7 1.3 0.5 0.3 0.2 0.2 1 1 0.2 0.2 0.6 1.1 1.1 1.2 1 0.4 0.4 0.5 1.2 1 0.8 0.9 0.4 0.4 0.3 0.5 0.4 0.4 0.7 0.3
"su" 0.8 0.7 1 1 0.7 0.9 1 0.5 0.3 0.5 0.9 0.8 0.8 1 0.8 0.6 0.4 0.5 0.9 0.8 0.5 0.6 0.3 0.3 0.5 0.7 1 0.7 0.4 0.9 0.9 0.4 0.7 0.8
"tan" 1.1 0.8 1 0.9 0.6 0.8 0.8 0.6 0.4 0.4 1 1 0.7 0.3 0.1 0.6 0.8 0.7 0.9 1 0.8 0.6 0.5 0.3 0.2 0.3 0.7 0.9 0.5 0.8 0.7 0.1 0.5 0.6
"don" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"las" 1.3 1 0.9 0.6 0.5 0.3 0.1 0.5 0.6 0.2 0.2 0.7 1.1 1.1 0.7 0.6 0.9 0.7 0.5 0.4 0.3 0.4 0.7 0.7 0.5 0.4 0.6 1.1 0.8 0.3 0.1 0.1 0.4 0.7
"un" 0.5 0.4 0.4 0.8 1.1 0.9 0.8 0.5 0.3 0.8 0.6 0.9 1 0.6 1.2 1 0.7 1.2 1.2 0.9 0.8 0.5 0.4 0.6 0.8 1 0.9 0.5 0.4 0.5 0.4 0.2 0.1 0.1
"bien" 0.3 0.3 0.6 0.4 0 0.1 0.2 0.6 0.7 0.3 0.1 0.1 0.2 0.2 0.2 0.2 0.5 0.7 0.9 0.9 0.3 0 0.1 0.2 0.2 0.2 0.5 0.7 0.4 0.1 0.1 0.1 0.2 0.5
"porque" 0.8 0.4 0.4 0.7 1.1 0.9 0.4 0.5 0.9 0.5 0.3 0.5 0.6 0.4 0.4 0.6 0.9 0.9 0.7 0.6 0.5 0.4 0.3 0.5 0.4 0.3 0.3 0.6 0.5 0.2 0.6 0.4 0 0.2
"al" 0.4 0.7 0.6 0.7 1.2 1.1 0.6 0.6 1 1.2 0.7 0.5 0.8 0.9 0.5 0.4 0.5 0.2 0.3 0.3 0 0.1 0.4 0.5 0.2 0.6 0.9 0.3 0 0.1 0.5 0.9 0.8 0.4
"os" 0.3 0.5 0.5 0.1 0 0.1 0.8 1.2 0.6 0.1 0.5 0.5 0.3 0.9 0.6 0.3 0.4 0.2 0.2 0.6 1.1 0.6 0.1 0.1 0.1 0.3 0.3 0.1 0 0 0 0.2 0.2 0
"ya" 0.2 0.3 0.2 0.2 0.2 0.5 0.4 0.2 0.2 0.1 0.4 0.4 0.1 0.2 0.3 0.2 0.3 0.3 0.2 0.3 0.4 0.5 0.5 0.4 0.6 0.7 0.5 0.3 0.2 0.6 0.8 0.4 0.3 0.5
"sin" 1.3 0.7 0.3 0.2 0.2 0.4 0.3 0.1 0.2 0.4 0.5 0.4 0.4 0.4 0.4 0.7 1 0.8 0.5 0.2 0.4 0.6 0.4 0.7 0.7 0.3 0.2 0.3 0.7 0.6 0.2 0.1 0.2 0.3
"leonor" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ser" 0.5 0.3 0.1 0.3 0.4 0.2 0 0.5 0.7 0.4 0.2 0.1 0.1 0.3 0.6 0.7 0.4 0.2 0.3 0.1 0.2 0.3 0.1 0.2 0.3 0.2 0.1 0.2 0.4 0.4 0.6 0.5 0.1 0.2
"del" 0.1 0.3 0.5 0.5 0.7 0.6 0.5 0.4 0.4 0.4 0.4 0.6 0.5 0.2 0.3 0.7 1.3 0.9 0.2 0.4 0.3 0.1 0.2 0.4 0.2 0.2 0.3 0.3 0.6 0.6 0.4 0.3 0.2 0.2
"más" 0.9 0.5 0.3 0.6 0.4 0.4 0.5 0.4 0.7 0.5 0.2 0.5 0.4 0.1 0.5 0.6 0.3 0.6 0.8 0.5 0.3 0.2 0.2 0.2 0.2 0.3 0.5 0.4 0.5 0.4 0.1 0.2 0.3 0.5
"te" 0 0 0.3 0.4 0.1 0.2 0.3 0.2 0.3 1.1 0.9 0.2 0.4 0.4 0.3 0.1 0 0 0 0 0.1 0.1 0.2 0.2 0.1 0.2 0.4 0.8 0.9 0.4 0.3 0.5 0.5 0.7
"quien" 0.7 0.7 0.4 0.3 0.2 0.2 0.1 0.2 0.6 0.7 0.4 0.1 0.2 0.4 0.4 0.3 0.1 0.3 0.4 0.2 0.3 0.3 0.1 0.1 0.4 0.4 0.3 0.8 0.8 0.3 0.3 0.4 0.3 0.5
"para" 0.2 0.5 0.7 0.5 0.6 0.5 0.5 0.9 1 0.8 0.4 0.1 0.8 1.3 0.6 0.1 0.2 0.3 0.2 0.9 1.1 0.4 0.2 0.3 0.2 0.3 0.3 0.1 0.2 0.1 0 0 0.3 0.4
"le" 0.4 0.6 0.3 0.4 0.4 0.4 0.4 0.3 0.4 0.4 0.2 0 0.2 0.4 0.3 0.1 0 0 0.1 0.2 0.2 0.3 0.8 1.1 0.5 0.5 0.8 0.7 0.5 0.1 0.2 0.4 0.3 0.2
"como" 0.6 0.2 0.6 1.4 1.1 0.7 0.4 0.2 0.2 0.1 0.1 0 0.1 0.3 0.3 0.3 0.3 0.2 0.1 0.7 0.8 0.1 0.1 0.1 0.2 0.5 0.3 0.1 0.1 0.1 0.2 0.1 0.1 0.1
"aquí" 0.2 0.1 0.2 0.2 0 0 0.1 0.1 0.2 0.4 0.4 0.2 0 0.2 0.5 0.3 0.2 0.5 0.5 0.5 0.7 1 0.6 0.1 0.2 0.2 0.1 0.1 0.1 0 0.1 0.2 0.1 0.1
"mí" 0 0 0 0.1 0.1 0.2 0.4 0.2 0.5 0.5 0.2 0.2 0 0.4 0.4 0.2 0.3 0.1 0 0 0 0.3 0.4 0.2 0.3 0.2 0.1 0.1 0.1 0.2 0.4 0.4 0.2 0.3
"mas" 0.1 0.1 0.3 0.2 0.1 0.2 0.7 0.7 0.2 0.4 0.5 0.2 0.1 0.2 0.2 0.1 0.1 0.3 0.2 0.1 0.1 0 0.3 0.5 0.4 0.3 0.1 0 0.2 0.7 0.7 0.4 0.4 0.5
"vos" 0 0 0 0 0 0 0.4 1.2 0.8 0 0.2 0.2 0 0.2 0.4 0.5 0.3 0.1 0.1 0 0.1 0.3 0.2 0 0.6 0.9 0.3 0 0.1 0.3 0.2 0 0 0
"ha" 0.3 0.3 0.2 0.1 0 0.4 0.8 0.6 0.6 0.5 0.2 0.1 0 0.2 0.5 0.6 0.6 0.8 0.5 0.1 0.5 1 0.7 0.1 0.1 0.4 0.4 0.1 0.1 0.1 0.2 0.6 0.8 0.5
"aunque" 0.1 0.2 0.5 0.5 0.2 0.2 0.4 0.2 0.2 0.6 0.4 0.2 0.4 0.5 0.5 0.4 0.3 0.1 0 0.1 0.1 0 0 0.1 0.2 0.2 0.2 0.2 0.3 0.5 0.3 0 0 0.1
"carlos" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"he" 0 0.1 0.1 0.2 0.2 0.1 0.3 0.3 0.2 0.2 0.3 0.2 0.1 0.6 0.9 0.8 0.5 0.4 0.5 0.5 0.8 0.9 0.4 0.1 0.3 0.5 0.3 0 0 0 0.1 0.1 0 0
"mis" 0 0.2 0.3 0.2 0.4 0.6 0.3 0 0 0.1 0.1 0.2 0.3 0.2 0.2 0.3 0.2 0.1 0.5 0.5 0.2 0.2 0.2 0.1 0.1 0.2 0.2 0.5 0.9 0.5 0 0.5 0.5 0.3
"una" 0.4 0.4 0.6 0.3 0.1 0.5 0.5 0.2 0.1 0 0.2 0.4 0.2 0.6 0.6 0 0 0.1 0.1 0 0.2 0.3 0.2 0.3 0.3 0.4 0.5 0.3 0.4 0.4 0.1 0 0.3 0.3
"amor" 0.5 0.2 0 0 0 0.1 0.2 0.3 0.6 1.1 0.8 0.1 0.3 0.4 0.3 0.2 0 0.2 0.6 1 0.6 0.2 0.2 0.1 0.1 0 0.1 0.2 0.5 1.2 0.9 0.1 0.2 0.2
"esta" 0.2 0 0.1 0.1 0 0 0.1 0.1 0 0.2 0.4 0.5 0.4 0.2 0.2 0.6 0.6 0.1 0.4 0.5 0.7 1 0.5 0.1 0.1 0.2 0.1 0.2 0.2 0.1 0.3 0.4 0.3 0.2
"señor" 0.1 0.4 0.6 0.4 0.2 0.7 0.8 0.4 0.3 0.4 0.6 0.5 0.3 0.2 0.1 0 0.2 0.2 0 0 0 0.2 0.3 0.2 0.3 0.2 0 0 0.2 0.3 0.5 0.8 0.6 0.9
"casa" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1
"cómo" 0 0 0 0 0.1 0.1 0 0.2 0.2 0.2 0.2 0 0.1 0.2 0.2 0.4 0.3 0.2 0.2 0 0.3 0.3 0.1 0.1 0.2 0.3 0.2 0.1 0.1 0.3 0.3 0.4 0.4 0.2
"cuando" 0.5 0.4 0.1 0.2 0.4 0.4 0.4 0.2 0.5 0.6 0.1 0 0.1 0.1 0.1 0.3 0.6 0.7 0.4 0.3 0.2 0 0 0.2 0.5 0.3 0.1 0.3 1 1 0.4 0.2 0.7 1.2
"pero" 0.2 0.2 0.1 0.1 0 0.4 0.4 0.2 0.3 0.1 0.2 0.3 0.3 0.4 0.6 0.4 0.1 0.3 0.4 0.4 0.4 0.7 0.7 0.6 0.8 0.4 0.1 0.3 0.2 0.1 0.3 0.3 0.1 0
"tú" 0.2 0.1 0 0 0 0 0 0.2 0.3 0.6 0.6 0.3 0.5 0.3 0.2 0.2 0 0 0 0 0 0 0.1 0.1 0 0.1 0.2 0.7 0.7 0.2 0.6 0.7 0.3 0.1
"así" 0.1 0.1 0 0 0 0 0.2 0.2 0.1 0.3 0.3 0.1 0 0.1 0.1 0 0 0 0 0.1 0.1 0 0.4 0.5 0.1 0 0 0 0.2 0.3 0.2 0.1 0.1 0.3
"quién" 0.2 0 0.2 0.3 0.1 0.2 0.3 0.1 0 0 0.1 0.1 0 0.3 0.3 0.1 0.1 0.1 0.1 0.1 0.2 0.2 0.5 0.7 0.6 0.4 0.1 0 0.2 0.3 0.6 0.9 0.4 0.1
"tu" 1.1 1.1 0.2 0.2 0.3 0.4 0.2 0 0.6 0.8 0.2 0.1 0.2 0.1 0 0 0 0 0 0 0 0 0.1 0.2 0.1 0 0.3 0.4 0.3 0.2 0.1 0.1 0.5 0.7
"está" 0 0 0.1 0.1 0 0 0.3 0.7 0.5 0.3 0.3 0.1 0.1 0.2 0.1 0.1 0.1 0.4 0.4 0 0.2 0.6 0.6 0.4 0.5 0.3 0.1 0.1 0 0 0.2 0.3 0.2 0.2
"él" 0 0.1 0.2 0.1 0.1 0.5 0.5 0.2 0.1 0 0 0.1 0.1 0.1 0.2 0.1 0.1 0.1 0.1 0.1 0 0.2 0.5 0.8 0.8 0.5 0.7 0.7 0.4 0.2 0.1 0.1 0.2 0.3
"ella" 0 0 0 0 0 0 0.1 0.2 0.1 0.1 0.1 0 0.1 0.3 0.3 0.3 0.3 0.1 0.2 0.2 0.1 0.1 0 0.1 0.1 0 0 0.1 0.1 0 0 0 0.1 0.1
"este" 0.1 0 0.1 0.1 0.2 0.5 0.4 0.2 0.3 0.3 0.1 0 0.2 0.4 0.5 0.6 0.5 0.4 0.2 0.2 0.5 0.8 0.8 0.3 0 0.2 0.3 0.2 0.1 0.1 0.4 0.5 0.2 0.1
"ni" 0.2 0.2 0.1 0.2 0.2 0 0.1 0.1 0.2 0.2 0.1 0.1 0.1 0.1 0.1 0.1 0 0 0 0 0 0 0.1 0.1 0 0.4 0.5 0.3 0.2 0.1 0.2 0.1 0 0
"sólo" 0.4 0.3 0.1 0.3 0.2 0.1 0.1 0 0.2 0.2 0.1 0.1 0.2 0.4 0.4 0.4 0.2 0.1 0.2 0.1 0.2 0.4 0.2 0 0.1 0.2 0.2 0.2 0.2 0.2 0.1 0.3 0.4 0.2
"señora" 0 0.1 0.2 0.1 0 0 0.2 0.7 0.9 0.5 0.1 0 0.1 0.2 0.2 0.1 0 0 0 0.1 0.2 0.4 0.3 0 0 0.2 0.3 0.3 0.2 0.1 0.3 0.2 0 0
"dicha" 0 0 0 0 0 0.1 0.1 0 0 0.1 0.1 0.1 0.1 0.1 0.5 0.5 0.2 0.2 0.2 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1
"soy" 0 0 0 0.4 0.4 0.1 0.2 0.3 0.2 0 0 0.3 0.3 0.1 0.1 0 0 0 0 0.3 0.4 0.2 0.5 0.5 0.4 0.4 0.2 0.1 0.2 0.2 0.7 0.8 0.1 0.1
"tal" 0.2 0.1 0 0 0 0 0.1 0.1 0.1 0.2 0.1 0 0 0.2 0.2 0 0.1 0.1 0 0.1 0.1 0.1 0.1 0 0 0.2 0.2 0 0 0 0 0.1 0.1 0
"esto" 0.2 0.1 0.1 0.1 0 0.1 0.1 0 0.1 0.1 0.3 0.3 0 0 0 0.1 0.2 0.2 0.1 0.1 0.4 0.5 0.3 0.1 0.2 0.2 0 0.2 0.5 0.4 0.3 0.6 0.4 0
"muy" 0 0.1 0.1 0.1 0.2 0.2 0.1 0.1 0.2 0.2 0.1 0.1 0.4 0.6 0.5 0.3 0.2 0.1 0 0 0 0.1 0.2 0.1 0.1 0.1 0 0.2 0.3 0.1 0.1 0.1 0 0
"pedro" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sí" 0.2 0 0 0.1 0.1 0 0.1 0.3 0.4 0.2 0 0.1 0.1 0.1 0.2 0.2 0.1 0 0 0.1 0.1 0 0.2 0.2 0.1 0.1 0.1 0.1 0.2 0.2 0 0 0 0.2
"son" 0.3 0.1 0.2 0.1 0 0.1 0.1 0 0.1 0.1 0.1 0.1 0 0.1 0.2 0.3 0.3 0.3 0.3 0.1 0 0 0.4 0.4 0 0 0.1 0.2 0.1 0 0 0.3 0.3 0
"tengo" 0.1 0.2 0.2 0.1 0 0.1 0.2 0.1 0.1 0.1 0 0 0.1 0.1 0.2 0.2 0.1 0.3 0.3 0.1 0.1 0.1 0 0.2 0.3 0.5 0.5 0.1 0 0 0 0 0 0.1
"vuestra" 0 0.2 0.3 0.1 0 0.3 0.4 0.2 0.1 0 0.1 0.3 0.2 0 0.1 0.4 0.6 0.3 0 0 0.1 0.2 0.1 0.1 0.1 0 0 0 0 0.1 0.1 0 0 0
"doña" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"hay" 0.1 0 0.1 0.3 0.3 0.2 0.2 0.1 0.1 0.1 0 0.2 0.2 0.2 0.4 0.3 0.2 0.1 0 0 0.1 0.1 0 0 0 0.3 0.3 0.1 0.2 0.4 0.3 0 0 0.5
"o" 0 0 0 0 0.3 0.5 0.2 0 0 0.2 0.2 0 0 0 0 0 0.1 0.1 0.2 0.2 0 0 0.1 0.3 0.3 0.2 0.4 0.3 0.2 0.2 0.1 0.2 0.1 0
"sea" 0.2 0.2 0.1 0 0.1 0.1 0 0.2 0.5 0.3 0 0 0 0.1 0.1 0.2 0.2 0.2 0.2 0.1 0.1 0 0 0 0 0.1 0.1 0 0 0.2 0.2 0 0.1 0.1
"estoy" 0 0 0 0 0 0 0 0 0 0.1 0.3 0.5 0.3 0 0 0.3 0.3 0 0.1 0.1 0 0 0.1 0.2 0.1 0 0 0 0 0 0 0.1 0.2 0.2
"hermano" 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"puedo" 0 0 0.1 0.2 0.1 0 0.1 0.2 0.2 0.1 0 0.1 0.1 0.1 0.1 0 0.1 0.1 0 0 0 0 0 0 0 0.1 0.1 0 0 0 0.1 0.1 0 0.1
"todo" 0.1 0.1 0.3 0.2 0 0.1 0.1 0.1 0.2 0.1 0 0.2 0.2 0 0.1 0.2 0.6 0.5 0 0 0 0 0 0 0.1 0.1 0.2 0.4 0.4 0.3 0.1 0.3 0.5 0.3
"ahora" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.2 0.1 0 0 0 0 0 0.1 0.1 0.3 0.3 0.2 0.3 0.1 0 0.1 0.1 0 0 0
"ana" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"fue" 0 0.1 0.1 0.1 0.2 0.3 0.2 0.1 0.1 0 0.1 0.2 0.2 0.1 0 0.2 0.2 0 0 0 0.3 0.5 0.2 0 0.1 0.4 0.5 0.2 0 0.1 0.1 0 0.1 0.4
"dios" 0 0 0 0 0 0 0.1 0.1 0 0 0.1 0.3 0.2 0 0.1 0.3 0.2 0.1 0.1 0 0 0.1 0.1 0.2 0.3 0.1 0 0 0 0.1 0.4 0.3 0 0
"hacer" 0 0.2 0.2 0.1 0.1 0.2 0.2 0.1 0.2 0.1 0.1 0.2 0.2 0.2 0.2 0.2 0.1 0 0 0 0 0 0 0.1 0.3 0.2 0.1 0.1 0 0 0 0 0.1 0.1
"acaso" 0 0 0 0 0 0 0 0 0 0.1 0.3 0.2 0 0 0 0.1 0.1 0 0 0 0 0 0.2 0.2 0 0 0.1 0.1 0 0 0 0 0 0
"ver" 0.2 0.2 0.2 0.2 0 0 0 0.1 0.1 0.2 0.4 0.5 0.4 0.1 0 0 0.6 0.6 0 0.1 0.2 0.1 0 0 0.2 0.2 0 0.1 0.1 0 0.1 0.1 0 0.1
"quiero" 0 0.1 0.4 0.4 0.1 0 0.1 0.4 0.4 0.4 0.4 0.2 0.1 0 0 0.1 0.1 0.2 0.4 0.4 0.4 0.2 0 0.1 0.2 0.1 0 0 0.2 0.3 0.3 0.4 0.2 0.2
"será" 0 0 0 0.1 0.1 0 0.1 0.1 0 0 0.1 0.1 0.1 0.1 0.1 0.2 0.4 0.4 0.4 0.3 0.1 0.1 0.1 0.1 0.1 0.1 0.2 0.2 0.1 0.1 0.1 0.1 0.2 0.2
"duda" 0.2 0 0 0 0 0 0 0 0 0.1 0.1 0 0.2 0.3 0.1 0.1 0.1 0 0 0 0.3 0.3 0 0.3 0.5 0.2 0 0.1 0.4 0.3 0 0 0.1 0.1
"sus" 1.4 0.6 0.3 0.5 0.3 0.4 0.3 0 0.1 0.1 0.1 0.2 0.3 0.2 0.2 0.5 0.3 0.1 0.2 0.1 0 0.1 0.1 0 0.4 0.4 0 0 0.2 0.2 0 0 0 0.1
"dama" 0 0 0 0 0 0 0 0.1 0.1 0 0 0 0 0.1 0.1 0.1 0.1 0 0 0 0.1 0.1 0 0 0 0 0 0.1 0.2 0.1 0 0 0.1 0.1
"has" 0 0 0 0 0 0 0.1 0.1 0.1 0.4 0.3 0 0.1 0.1 0.1 0.1 0 0 0.1 0.1 0.1 0.1 0 0 0.2 0.2 0 0 0 0 0.1 0.1 0.1 0.1
"vuestro" 0 0.1 0.2 0.1 0 0 0 0.1 0.1 0.1 0.2 0.1 0.1 0.1 0.2 0.5 0.4 0.1 0 0.3 0.4 0.1 0 0 0.1 0.1 0 0 0 0 0.2 0.2 0 0
"rodrigo" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"mal" 0 0 0 0 0 0 0.3 0.3 0.1 0.1 0.1 0.1 0.1 0.1 0 0 0.1 0.3 0.3 0.1 0.1 0.2 0.2 0.2 0.5 0.5 0.3 0.2 0 0 0 0.2 0.2 0
"juan" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"otro" 0.1 0 0 0.1 0.4 0.3 0 0 0 0.1 0.2 0.1 0 0 0 0 0.1 0.1 0 0 0.1 0.1 0 0 0.1 0.2 0.2 0.1 0 0 0 0 0.2 0.2
"tanto" 0.1 0.1 0.1 0.1 0.2 0.2 0 0.1 0.1 0 0.1 0.3 0.2 0.2 0.3 0.2 0.2 0.1 0.2 0.2 0 0 0 0 0 0.1 0.1 0 0.1 0.1 0 0.4 0.6 0.2
